"AE-2011-9160","2011","outubro","3","Classe Padrao","Medio"
"AE-2013-1130","2013","outubro","14","Mesmo Dia","Alto"
"AE-2013-1530","2013","dezembro","31","Segunda Classe","Alto"
"AE-2014-2840","2014","novembro","5","Primeira Classe","Critico"
"AE-2014-3830","2014","dezembro","13","Classe Padrao","Medio"
"AE-2014-4120","2014","março","7","Classe Padrao","Medio"
"AG-2011-1070","2011","janeiro","10","Segunda Classe","Medio"
"AG-2011-1390","2011","agosto","16","Classe Padrao","Medio"
"AG-2011-1440","2011","dezembro","15","Classe Padrao","Medio"
"AG-2011-2040","2011","janeiro","1","Classe Padrao","Medio"
"AG-2011-3090","2011","agosto","13","Classe Padrao","Medio"
"AG-2011-3130","2011","março","11","Classe Padrao","Medio"
"AG-2011-380","2011","março","3","Classe Padrao","Medio"
"AG-2011-4410","2011","novembro","2","Primeira Classe","Alto"
"AG-2011-4450","2011","junho","15","Mesmo Dia","Critico"
"AG-2011-450","2011","novembro","7","Classe Padrao","Medio"
"AG-2011-4560","2011","dezembro","20","Classe Padrao","Baixo"
"AG-2011-500","2011","novembro","23","Classe Padrao","Medio"
"AG-2011-60","2011","agosto","13","Segunda Classe","Medio"
"AG-2011-7230","2011","janeiro","7","Classe Padrao","Medio"
"AG-2011-7710","2011","maio","24","Primeira Classe","Critico"
"AG-2011-8180","2011","fevereiro","25","Mesmo Dia","Critico"
"AG-2011-8390","2011","julho","19","Classe Padrao","Medio"
"AG-2011-8930","2011","dezembro","26","Mesmo Dia","Medio"
"AG-2011-9060","2011","dezembro","20","Classe Padrao","Medio"
"AG-2011-9610","2011","abril","22","Primeira Classe","Alto"
"AG-2011-9670","2011","dezembro","22","Primeira Classe","Medio"
"AG-2011-9890","2011","junho","26","Classe Padrao","Medio"
"AG-2012-170","2012","novembro","30","Segunda Classe","Critico"
"AG-2012-1940","2012","julho","31","Classe Padrao","Medio"
"AG-2012-2200","2012","novembro","29","Primeira Classe","Medio"
"AG-2012-2220","2012","dezembro","26","Classe Padrao","Alto"
"AG-2012-2430","2012","agosto","31","Classe Padrao","Medio"
"AG-2012-3190","2012","maio","19","Classe Padrao","Medio"
"AG-2012-4060","2012","março","19","Primeira Classe","Medio"
"AG-2012-4630","2012","maio","28","Segunda Classe","Medio"
"AG-2012-4750","2012","dezembro","10","Classe Padrao","Medio"
"AG-2012-4910","2012","novembro","16","Classe Padrao","Medio"
"AG-2012-5400","2012","janeiro","5","Mesmo Dia","Alto"
"AG-2012-6020","2012","agosto","20","Classe Padrao","Alto"
"AG-2012-6390","2012","novembro","26","Classe Padrao","Medio"
"AG-2012-7530","2012","agosto","8","Classe Padrao","Medio"
"AG-2012-8490","2012","setembro","18","Classe Padrao","Medio"
"AG-2012-8660","2012","agosto","9","Classe Padrao","Medio"
"AG-2013-2580","2013","junho","11","Classe Padrao","Medio"
"AG-2013-2690","2013","setembro","7","Segunda Classe","Critico"
"AG-2013-2840","2013","maio","21","Primeira Classe","Alto"
"AG-2013-2970","2013","abril","26","Classe Padrao","Medio"
"AG-2013-3970","2013","agosto","24","Classe Padrao","Medio"
"AG-2013-4150","2013","julho","18","Segunda Classe","Alto"
"AG-2013-5140","2013","março","8","Primeira Classe","Medio"
"AG-2013-5250","2013","abril","2","Classe Padrao","Medio"
"AG-2013-5570","2013","maio","1","Primeira Classe","Alto"
"AG-2013-5820","2013","novembro","5","Primeira Classe","Medio"
"AG-2013-6090","2013","março","14","Classe Padrao","Alto"
"AG-2013-640","2013","agosto","23","Segunda Classe","Alto"
"AG-2013-6520","2013","fevereiro","4","Classe Padrao","Medio"
"AG-2013-6630","2013","dezembro","10","Primeira Classe","Alto"
"AG-2013-6810","2013","julho","10","Segunda Classe","Alto"
"AG-2013-7890","2013","agosto","26","Segunda Classe","Medio"
"AG-2013-8490","2013","agosto","30","Segunda Classe","Alto"
"AG-2013-8990","2013","setembro","12","Primeira Classe","Critico"
"AG-2013-9570","2013","fevereiro","4","Classe Padrao","Medio"
"AG-2013-9890","2013","setembro","30","Classe Padrao","Alto"
"AG-2014-2040","2014","janeiro","1","Classe Padrao","Alto"
"AG-2014-2110","2014","dezembro","30","Segunda Classe","Medio"
"AG-2014-2230","2014","outubro","27","Segunda Classe","Medio"
"AG-2014-2280","2014","dezembro","25","Classe Padrao","Medio"
"AG-2014-2360","2014","janeiro","1","Classe Padrao","Alto"
"AG-2014-2600","2014","novembro","18","Segunda Classe","Medio"
"AG-2014-2760","2014","junho","9","Classe Padrao","Alto"
"AG-2014-2830","2014","agosto","1","Segunda Classe","Medio"
"AG-2014-3130","2014","novembro","1","Segunda Classe","Medio"
