"AE-2011-9160","OFF-FEL-10001405","PO-8865","2","82.674","5.69"
"AE-2011-9160","TEC-EPS-10004171","PO-8865","6","78.408","3.87"
"AE-2013-1130","FUR-BUS-10003055","EB-4110","6","224.748","60.08"
"AE-2013-1130","OFF-ACC-10004278","EB-4110","1","4.248","0.1"
"AE-2013-1530","OFF-STI-10000114","MY-7380","2","16.668","1.41"
"AE-2013-1530","OFF-TEN-10002817","MY-7380","1","6.966","1.75"
"AE-2014-2840","OFF-ROG-10001340","PG-8820","1","42.48","8.04"
"AE-2014-3830","OFF-AVE-10000357","GH-4665","1","3.159","0.25"
"AE-2014-3830","OFF-AVE-10004827","GH-4665","1","3.429","0.25"
"AE-2014-3830","OFF-BIC-10002270","GH-4665","8","77.256","4.08"
"AE-2014-3830","OFF-ELD-10002297","GH-4665","1","59.373","5.83"
"AE-2014-3830","OFF-ROG-10003993","GH-4665","1","42.489","2.24"
"AE-2014-3830","TEC-MOT-10001535","GH-4665","4","95.796","6.73"
"AE-2014-4120","OFF-HON-10004621","JD-5790","2","6.426","0.49"
"AG-2011-1070","OFF-HOO-10001783","TH-11235","1","308.64","31.41"
"AG-2011-1390","OFF-IBI-10000440","DH-3675","2","26.22","2.41"
"AG-2011-1390","OFF-SAN-10001237","DH-3675","12","581.04","35.32"
"AG-2011-1440","OFF-AVE-10004909","DB-3210","2","58.74","3.04"
"AG-2011-2040","OFF-TEN-10000025","TB-11280","2","408.3","35.46"
"AG-2011-3090","TEC-CIS-10000436","AH-210","2","276.96","20.15"
"AG-2011-3130","OFF-JIF-10004450","AJ-780","1","35.97","2.83"
"AG-2011-380","FUR-ELD-10003131","CC-2370","1","113.28","9.51"
"AG-2011-4410","OFF-EAT-10003338","JH-5985","1","24.72","4.29"
"AG-2011-4450","OFF-NOV-10001568","RS-9765","1","11.37","3.8"
"AG-2011-450","OFF-STO-10003604","BC-1125","1","10.92","1.05"
"AG-2011-4560","FUR-DEF-10000572","EG-3900","2","103.92","10.87"
"AG-2011-4560","OFF-CUI-10000105","EG-3900","4","1111.56","162.67"
"AG-2011-4560","TEC-BRO-10003380","EG-3900","1","260.49","24.2"
"AG-2011-500","OFF-WIL-10002153","AS-285","2","54.9","3.48"
"AG-2011-60","OFF-STO-10000007","TT-11070","1","10.41","0.74"
"AG-2011-7230","OFF-STA-10000244","AC-420","2","91.38","4.36"
"AG-2011-7710","FUR-SAU-10002255","BM-1785","2","874.68","78.7"
"AG-2011-8180","OFF-ADV-10004598","RO-9780","4","53.52","22.06"
"AG-2011-8180","OFF-ELD-10000845","RO-9780","2","393.96","110.6"
"AG-2011-8180","OFF-NOV-10003180","RO-9780","1","8.37","2.14"
"AG-2011-8180","OFF-SAN-10001681","RO-9780","10","339.3","27.29"
"AG-2011-8180","TEC-EPS-10004558","RO-9780","2","613.26","241.33"
"AG-2011-8390","OFF-ADV-10000308","MW-8220","4","55.44","3.98"
"AG-2011-8930","FUR-HON-10002599","MW-8220","2","116.04","9.32"
"AG-2011-9060","FUR-SAF-10000949","OT-8730","1","198.09","12.63"
"AG-2011-9610","FUR-HAR-10002178","AA-645","2","298.68","47.5"
"AG-2011-9670","TEC-PAN-10002365","DK-2835","6","1589.4","102.07"
"AG-2011-9890","OFF-SAN-10002441","BM-1785","4","63","3.98"
"AG-2011-9890","OFF-STO-10004503","BM-1785","1","13.32","0.88"
"AG-2011-9890","OFF-TEN-10001480","BM-1785","8","433.92","15.37"
"AG-2012-170","OFF-JIF-10000704","PF-9165","1","8.52","0.74"
"AG-2012-170","TEC-BRO-10003401","PF-9165","1","189.69","26.8"
"AG-2012-1940","OFF-CAR-10001577","BP-1230","4","199.08","15.17"
"AG-2012-1940","TEC-STA-10003925","BP-1230","1","163.62","2.62"
"AG-2012-2200","FUR-DAN-10004510","TS-11505","4","1447.44","199.04"
"AG-2012-2220","FUR-HAR-10003548","MV-8190","1","63.87","4.6"
"AG-2012-2220","OFF-SAN-10002639","PO-8865","1","23.52","2.69"
"AG-2012-2220","TEC-HEW-10002304","PO-8865","6","1908.72","169.7"
"AG-2012-2430","FUR-TEN-10000325","CC-2430","1","17.55","1.07"
"AG-2012-2430","OFF-SAN-10001546","CC-2430","4","118.8","8.11"
"AG-2012-2430","OFF-SAN-10004618","CC-2430","1","16.89","0.77"
"AG-2012-3190","OFF-HOO-10001448","SZ-10035","4","391.68","4.39"
"AG-2012-3190","OFF-STO-10001839","SZ-10035","1","16.53","0.8"
"AG-2012-4060","FUR-BAR-10000831","LM-7065","1","319.77","9.19"
"AG-2012-4060","OFF-AVE-10000909","LM-7065","6","71.1","8.31"
"AG-2012-4060","OFF-BIC-10001823","LM-7065","2","109.92","9.1"
"AG-2012-4060","OFF-STA-10000054","LM-7065","1","11.31","1.19"
"AG-2012-4060","OFF-TEN-10003948","LM-7065","1","16.5","1.79"
"AG-2012-4630","FUR-BUS-10001187","CP-2340","2","824.28","90.77"
"AG-2012-4630","OFF-ACC-10004538","CP-2340","8","109.44","13.8"
"AG-2012-4630","OFF-CAR-10004661","CP-2340","1","50.13","4.08"
"AG-2012-4630","OFF-CUI-10002413","CP-2340","1","38.04","4.86"
"AG-2012-4630","OFF-STA-10001791","CP-2340","1","17.88","1.36"
"AG-2012-4630","OFF-TEN-10001031","CP-2340","1","54.69","5.89"
"AG-2012-4630","OFF-XER-10000846","CP-2340","12","589.32","59.19"
"AG-2012-4630","OFF-XER-10004519","CP-2340","1","46.38","6.13"
"AG-2012-4630","TEC-CIS-10001877","CP-2340","4","321.84","22.95"
"AG-2012-4630","TEC-OKI-10003124","CP-2340","1","314.1","33.55"
"AG-2012-4750","OFF-STO-10004779","LM-7065","4","57.48","4.22"
"AG-2012-4750","TEC-EPS-10003568","LM-7065","2","234.3","11.5"
"AG-2012-4910","OFF-AVE-10004909","KF-6285","1","29.37","1.91"
"AG-2012-4910","OFF-TEN-10000894","KF-6285","2","46.5","2.47"
"AG-2012-4910","TEC-LOG-10001750","KF-6285","1","29.49","0.91"
"AG-2012-5400","OFF-GRE-10000328","RB-9570","2","33.36","2.81"
"AG-2012-5400","OFF-KIT-10002357","RB-9570","2","199.2","33.05"
"AG-2012-5400","OFF-SME-10004160","RB-9570","1","16.56","3.79"
"AG-2012-5400","OFF-STO-10003342","RB-9570","1","13.59","1.29"
"AG-2012-6020","OFF-SME-10002823","DC-3285","2","96.96","16.76"
"AG-2012-6020","TEC-HP -10004082","DC-3285","1","172.53","16.25"
"AG-2012-6390","OFF-SAN-10000335","GH-4410","1","16.71","1.1"
"AG-2012-7530","FUR-DEF-10000346","AA-480","1","110.1","7.95"
"AG-2012-8490","FUR-SAU-10004221","LC-7050","4","599.28","43.54"
"AG-2012-8490","OFF-AVE-10001750","LC-7050","4","109.32","7.31"
"AG-2012-8490","OFF-STO-10004910","LC-7050","1","18.66","2.05"
"AG-2012-8490","OFF-WIL-10002153","LC-7050","1","27.45","1.85"
"AG-2012-8660","OFF-SME-10001149","MP-7470","1","17.52","0.4"
"AG-2013-2580","TEC-SAN-10004721","KE-6420","2","110.7","8.47"
"AG-2013-2690","OFF-BOS-10000363","CP-2085","2","58.44","17.18"
"AG-2013-2690","OFF-STO-10002708","CP-2085","2","26.28","8.57"
"AG-2013-2840","FUR-SAU-10000209","CS-1860","1","146.76","17.73"
"AG-2013-2970","OFF-KLE-10004581","CM-2160","1","43.05","1.28"
"AG-2013-3970","OFF-STI-10001743","RD-9585","1","25.23","1.66"
"AG-2013-4150","OFF-EAT-10001303","DB-3270","2","41.16","8.44"
"AG-2013-4150","OFF-ROG-10000566","DB-3270","1","61.71","10.8"
"AG-2013-4150","OFF-STA-10004885","DB-3270","1","44.7","8.3"
"AG-2013-4150","OFF-TEN-10001129","DB-3270","1","54.66","8.37"
"AG-2013-4150","TEC-BEL-10002106","DB-3270","4","459.24","71.81"
"AG-2013-5140","OFF-ELD-10003918","HF-4995","2","32.1","2.75"
"AG-2013-5140","TEC-MEM-10004014","HF-4995","1","246.21","21.52"
"AG-2013-5250","TEC-SAM-10000345","AG-765","1","166.83","10.35"
"AG-2013-5570","OFF-ACC-10002343","AH-75","2","63.24","12.98"
"AG-2013-5570","OFF-BOS-10002472","AH-75","1","48.6","10.94"
"AG-2013-5820","OFF-SME-10004754","ES-4080","4","19.2","1.08"
"AG-2013-5820","OFF-STO-10002449","ES-4080","4","63.84","11.02"
"AG-2013-5820","OFF-XER-10003901","ES-4080","2","60.96","7.42"
"AG-2013-5820","TEC-LOG-10001750","ES-4080","1","29.49","1.67"
"AG-2013-6090","OFF-BIN-10002061","RD-9585","1","46.32","3.94"
"AG-2013-6090","OFF-HON-10003538","RD-9585","2","18.06","1.2"
"AG-2013-640","OFF-AVE-10001847","BO-1425","1","12.36","2.96"
"AG-2013-640","OFF-GLO-10004123","BO-1425","4","78.96","4.37"
